,Date,Low,High,Close,Open,Volume
9678,2024-08-08,397.62565473832814,403.51138026295973,400.3597412109375,400.11118789524573,20203000.0
9677,2024-08-07,395.16992295159474,407.7069368759002,396.1243591308594,406.27529777749277,20650900.0
9676,2024-08-06,396.1939842314513,403.3225066578681,397.29754638671875,397.6853041219084,24946500.0
9675,2024-08-05,383.34874440032485,398.7193036046689,392.8633728027344,386.91799678720787,40709200.0
9674,2024-08-02,402.0001807599968,412.59849761680636,406.12615966796875,410.1030126570464,29437900.0
9673,2024-08-01,410.6995323530128,424.98637136355273,414.6962585449219,418.3549862264431,30296400.0
9672,2024-07-31,409.8246539863894,419.33928250485553,415.92913818359375,418.0666907004293,42891400.0
9671,2024-07-30,414.9448029922065,426.5671576267596,420.47265625,425.24486743225,32687600.0
9670,2024-07-29,422.2423988579534,429.6492697069918,424.2606506347656,429.0825608465564,15125800.0
9669,2024-07-26,414.8553456338981,426.4379540941027,422.8090515136719,415.7799870015666,23583800.0
9668,2024-07-25,415.09401723172687,427.31287721528406,415.9788513183594,426.31866388501027,29943800.0
9667,2024-07-24,425.11564336198785,438.9252800797557,426.4180603027344,437.90124163761953,26805800.0
9666,2024-07-23,440.53591409904936,445.7953108894537,442.2757873535156,441.33127259326983,13107100.0
9665,2024-07-22,436.37015276462773,442.0272287343498,440.3768310546875,439.23349185507885,15808800.0
9664,2024-07-19,429.5001207828966,438.58724438350157,434.5805358886719,430.59376141790096,20940400.0
9663,2024-07-18,431.88626155510383,442.07694811849893,437.82171630859375,441.76874441556754,20794800.0
9662,2024-07-17,436.63857872187197,442.2757813397234,440.9534606933594,440.0288496296795,21778000.0
9661,2024-07-16,444.07529634239484,451.67106983710227,446.9187316894531,451.5915461266938,17175700.0
9660,2024-07-15,448.8177103695207,454.61399099803907,451.33306884765625,450.6768844175797,14429400.0
9659,2024-07-12,448.0422026334216,453.71915189160546,450.9254150390625,451.70090017355875,16324300.0
9658,2024-07-11,448.9369602373819,462.0904118522062,452.0687561035156,460.30084022096906,23111200.0
9657,2024-07-10,456.20469022907776,463.7607172108967,463.55194091796875,458.55104934272356,18196100.0
9656,2024-07-09,455.3496709136752,464.6256672353131,456.8807678222656,464.29759021110544,17207200.0
9655,2024-07-08,461.77229375422786,464.99356542878803,463.5419921875,463.8501958785038,12962300.0
