,Date,Low,High,Close,Open
1172,1966-08-25 00:00:00,1.6036782264709473,1.6036782264709473,1.6345895653132354,1.6222249311031665
1171,1966-08-24 00:00:00,1.6222254037857056,1.6222254037857056,1.6321169956281794,1.6284077720287298
1170,1966-08-23 00:00:00,1.6284077167510986,1.6036786393111808,1.6321169402246356,1.627171243144467
1169,1966-08-22 00:00:00,1.6271705627441406,1.6024414956446664,1.6531361029332161,1.6531361029332161
1168,1966-08-19 00:00:00,1.6593197584152222,1.6444823640594837,1.6667384062564783,1.6593197584152222
1167,1966-08-18 00:00:00,1.6593197584152222,1.6568468100193192,1.696413392314408,1.6914674955226021
1166,1966-08-17 00:00:00,1.6914674043655396,1.674157161220013,1.7013590000696177,1.6988862491534296
1165,1966-08-16 00:00:00,1.698885440826416,1.6939395466544045,1.7186684254754176,1.7186684254754176
1164,1966-08-15 00:00:00,1.7211401462554932,1.7211401462554932,1.731031729071281,1.7285585866846032
1163,1966-08-12 00:00:00,1.7285597324371338,1.6840476789349665,1.7347421978094228,1.6840476789349665
1162,1966-08-11 00:00:00,1.6828114986419678,1.671683532012669,1.6828114986419678,1.671683532012669
1161,1966-08-10 00:00:00,1.6716846227645874,1.6667387250268593,1.6828125966547407,1.6828125966547407
1160,1966-08-09 00:00:00,1.6828114986419678,1.6766292291769036,1.6939396626176282,1.6939396626176282
1159,1966-08-08 00:00:00,1.6958693265914917,1.6686762103221806,1.6958693265914917,1.69525123844982
1158,1966-08-05 00:00:00,1.6952509880065918,1.6946330972393628,1.70452151962947,1.70081318861044
1157,1966-08-04 00:00:00,1.7008130550384521,1.6835083665355572,1.7032854070457288,1.6835083665355572
1156,1966-08-03 00:00:00,1.6711485385894775,1.6427193383795062,1.6785650060832822,1.6439553176535382
1155,1966-08-02 00:00:00,1.6439530849456787,1.6297385534667261,1.6501332688471297,1.6420989212696284
1154,1966-08-01 00:00:00,1.6420999765396118,1.6420999765396118,1.6847438943053235,1.6847438943053235
1153,1966-07-29 00:00:00,1.6847445964813232,1.6847445964813232,1.7057576188454309,1.700813308659825
1152,1966-07-28 00:00:00,1.7008130550384521,1.7008130550384521,1.7255342077138296,1.721826074269146
1151,1966-07-27 00:00:00,1.721825361251831,1.7218253612518313,1.7378942616630995,1.7218253612518313
1150,1966-07-26 00:00:00,1.7156447172164917,1.7008119953957488,1.7304774390372344,1.7181166731174546
1149,1966-07-25 00:00:00,1.7181174755096436,1.7156455184542314,1.75519939602093,1.752727044399348
1148,1966-07-22 00:00:00,1.7527260780334473,1.7403657077220247,1.7551984282918984,1.7545803407272857
1147,1966-07-21 00:00:00,1.7545809745788574,1.73171389654007,1.7551990623667577,1.73171389654007
1146,1966-07-20 00:00:00,1.7280055284500122,1.7280055284500122,1.7403662975163394,1.7403662975163394
1145,1966-07-19 00:00:00,1.7428373098373413,1.7403653546463391,1.760142179871974,1.760142179871974
1144,1966-07-18 00:00:00,1.7700304985046387,1.7700304985046387,1.7873351703375397,1.7700304985046387
1143,1966-07-15 00:00:00,1.7700304985046387,1.758906108886972,1.7799191078753545,1.758906108886972
1142,1966-07-14 00:00:00,1.752109169960022,1.7366583531640207,1.7589075451329095,1.7366583531640207
1141,1966-07-13 00:00:00,1.7354217767715454,1.7354217767715454,1.7613788954155642,1.7613788954155642
1140,1966-07-12 00:00:00,1.7626162767410278,1.7552002048741402,1.7774490123243314,1.7601443185464574
1139,1966-07-11 00:00:00,1.7601430416107178,1.7502546241566845,1.765087348979251,1.765087348979251
1138,1966-07-08 00:00:00,1.7663242816925049,1.7650883028239714,1.783629169550811,1.783629169550811
1137,1966-07-07 00:00:00,1.7848637104034424,1.7749752955725813,1.7873356661489221,1.7749752955725813
1136,1966-07-06 00:00:00,1.7694129943847656,1.74036564190809,1.7700308846430362,1.750254056153072
1135,1966-07-05 00:00:00,1.7502546310424805,1.7403662135495446,1.7502546310424805,1.7502546310424805
1134,1966-07-01 00:00:00,1.7527260780334473,1.741601685568274,1.762614492652371,1.741601685568274
1133,1966-06-30 00:00:00,1.7329500913619995,1.7119372740613972,1.745928752831282,1.721207605622976
1132,1966-06-29 00:00:00,1.7212063074111938,1.7205884172951775,1.7366569141213015,1.7366569141213015
1131,1966-06-28 00:00:00,1.7378941774368286,1.718116948791895,1.7453102436126295,1.7317136948437746
1130,1966-06-27 00:00:00,1.7317142486572266,1.7317142486572266,1.7774482167510448,1.7551994192592584
1129,1966-06-24 00:00:00,1.7551991939544678,1.7403664669141807,1.7700317237116925,1.7601433047791886
1128,1966-06-23 00:00:00,1.7601430416107178,1.7601430416107178,1.793516623140734,1.7898084912558507
1127,1966-06-22 00:00:00,1.789808988571167,1.779920568369543,1.8034055416880144,1.7947531000304353
1126,1966-06-21 00:00:00,1.7947529554367065,1.7947529554367065,1.8120576400746302,1.7947529554367065
1125,1966-06-20 00:00:00,1.7922815084457397,1.7725046618324503,1.7935176846610388,1.7725046618324503
1124,1966-06-17 00:00:00,1.7650858163833618,1.7205878778355463,1.7650858163833618,1.7205878778355463
1123,1966-06-16 00:00:00,1.7113192081451416,1.693396435374169,1.7131734717643117,1.693396435374169
1122,1966-06-15 00:00:00,1.6933969259262085,1.6933969259262085,1.7255343481056982,1.7107016158370367
1121,1966-06-14 00:00:00,1.7107011079788208,1.6835080037227834,1.7107011079788208,1.70575699687912
1120,1966-06-13 00:00:00,1.7057570219039917,1.7008127134486806,1.73542228078663,1.725533861159084
1119,1966-06-10 00:00:00,1.7255345582962036,1.7255345582962036,1.7576719843904116,1.7255345582962036
1118,1966-06-09 00:00:00,1.7255345582962036,1.6810365533529685,1.7255345582962036,1.6810365533529685
1117,1966-06-08 00:00:00,1.6760915517807007,1.6488983487106301,1.685980168608976,1.6513706015592362
1116,1966-06-07 00:00:00,1.6513704061508179,1.643954043048735,1.6612588245259117,1.6612588245259117
1115,1966-06-06 00:00:00,1.6662023067474365,1.6637303510481254,1.690923442004362,1.690923442004362
1114,1966-06-03 00:00:00,1.6983404159545898,1.6785635806651287,1.7156450975121091,1.7156450975121091
1113,1966-06-02 00:00:00,1.7156447172164917,1.7156447172164917,1.8046406535749626,1.755198576310808
1112,1966-06-01 00:00:00,1.7551991939544678,1.7205896290491731,1.762615261550018,1.762615261550018
1111,1966-05-31 00:00:00,1.7935154438018799,1.778682728732671,1.8293609581626564,1.8293609581626564
1110,1966-05-27 00:00:00,1.8343061208724976,1.8145292897117846,1.8380142520547567,1.83677807680534
1109,1966-05-26 00:00:00,1.8367784023284912,1.8268899849956595,1.8367784023284912,1.8343064459575562
1108,1966-05-25 00:00:00,1.8343061208724976,1.8194733988604652,1.844194536452854,1.844194536452854
1107,1966-05-24 00:00:00,1.8441953659057617,1.8305986157448204,1.8491396745612103,1.8305986157448204
1106,1966-05-23 00:00:00,1.8189313411712646,1.813988704972055,1.8387022804165445,1.813988704972055
1105,1966-05-20 00:00:00,1.7830954790115356,1.764560160010272,1.7843310880553094,1.7843310880553094
1104,1966-05-19 00:00:00,1.7898914813995361,1.7793883123074243,1.8041018717746151,1.7793883123074243
1103,1966-05-18 00:00:00,1.7447890043258667,1.7250180766254772,1.749731834863017,1.749731834863017
1102,1966-05-17 00:00:00,1.7019518613815308,1.7019518613815308,1.7184277652975308,1.7134849349555015
1101,1966-05-16 00:00:00,1.7134853601455688,1.7068951152783018,1.7200758022369829,1.710190139099862
1100,1966-05-13 00:00:00,1.7101902961730957,1.7003048293521865,1.7266662056907212,1.7266662056907212
1099,1966-05-12 00:00:00,1.7266663312911987,1.7266663312911987,1.7497324879592446,1.7497324879592446
1098,1966-05-11 00:00:00,1.7505556344985962,1.7414941719693655,1.7612651018356242,1.7414941719693655
1097,1966-05-10 00:00:00,1.728312611579895,1.7134843230730623,1.7381980715097745,1.7143083250599154
1096,1966-05-09 00:00:00,1.7143083810806274,1.710189159907863,1.7447883694050983,1.7447883694050983
1095,1966-05-06 00:00:00,1.7480838298797607,1.7134846156062482,1.7596169013042648,1.7596169013042648
1094,1966-05-05 00:00:00,1.772798776626587,1.7727987766265867,1.8057504032881435,1.8057504032881435
1093,1966-05-04 00:00:00,1.8073970079421997,1.8041017879433894,1.828815543486299,1.828815543486299
1092,1966-05-03 00:00:00,1.836228609085083,1.8255195442652552,1.8436428501166269,1.8436428501166269
1091,1966-05-02 00:00:00,1.845291256904602,1.8370534049769744,1.8485864765652786,1.8370534049769744
1090,1966-04-29 00:00:00,1.837053894996643,1.8337586744569925,1.843644138851828,1.8337586744569925
1089,1966-04-28 00:00:00,1.8288156986236572,1.8189302350127323,1.84446760049758,1.84446760049758
1088,1966-04-27 00:00:00,1.8485865592956543,1.8156347556623138,1.85188158187973,1.8288154376708354
1087,1966-04-26 00:00:00,1.8288156986236572,1.8008069179300532,1.8321109189019993,1.8008069179300532
1086,1966-04-25 00:00:00,1.782683253288269,1.782683253288269,1.8370535943994168,1.8288155443982828
1085,1966-04-22 00:00:00,1.8288156986236572,1.8172826248735612,1.8387011622345824,1.8288156986236572
1084,1966-04-21 00:00:00,1.8288156986236572,1.8255206755694162,1.8354061391803413,1.8255206755694162
1083,1966-04-20 00:00:00,1.8057481050491333,1.8008054758138643,1.81398614914782,1.8008054758138643
1082,1966-04-19 00:00:00,1.7958635091781616,1.7958635091781616,1.8222248684673645,1.802453947612481
1081,1966-04-18 00:00:00,1.8024537563323975,1.7958633185974686,1.8164580420710879,1.8164580420710879
1080,1966-04-15 00:00:00,1.8222248554229736,1.8156344170358318,1.8518812364930035,1.8461146029042546
1079,1966-04-14 00:00:00,1.846116304397583,1.7958651515012811,1.846116304397583,1.7958651515012811
1078,1966-04-13 00:00:00,1.7876261472702026,1.7563219505936474,1.7925687802237016,1.776093074079917
1077,1966-04-12 00:00:00,1.7760931253433228,1.7760931253433228,1.8312870777990204,1.8127517599342091
1076,1966-04-11 00:00:00,1.812751054763794,1.7892731129358765,1.812751054763794,1.7892731129358765
1075,1966-04-07 00:00:00,1.7793879508972168,1.7612644409667513,1.7793879508972168,1.7612644409667513
1074,1966-04-06 00:00:00,1.7497317790985107,1.7431415358164493,1.7497317790985107,1.7431415358164493
1073,1966-04-05 00:00:00,1.743140697479248,1.723369582693484,1.749730937591833,1.7266648013617787
1072,1966-04-04 00:00:00,1.7266663312911987,1.7217234989091121,1.7349041880371638,1.7217234989091121
1071,1966-04-01 00:00:00,1.71677827835083,1.6937121564194542,1.7200734949764216,1.7003023924467549
1070,1966-03-31 00:00:00,1.7003049850463867,1.6821816604192235,1.703600206696483,1.6838292712442715
1069,1966-03-30 00:00:00,1.6838287115097046,1.680533490954998,1.6953617862270596,1.6953617862270596
1068,1966-03-29 00:00:00,1.7101902961730957,1.6970098052279934,1.7250185950165422,1.7159567363085575
1067,1966-03-28 00:00:00,1.7159558534622192,1.7134846359465385,1.7299605369874371,1.7299605369874371
1066,1966-03-25 00:00:00,1.7299607992172241,1.7093660677123714,1.7299607992172241,1.7093660677123714
1065,1966-03-24 00:00:00,1.7036000490188599,1.688771750190051,1.7101902944849054,1.688771750190051
1064,1966-03-23 00:00:00,1.6871225833892822,1.6788847348489158,1.688770192542152,1.6871225833892822
1063,1966-03-22 00:00:00,1.6871225833892822,1.6805323440017856,1.6937130200007617,1.6805323440017856
1062,1966-03-21 00:00:00,1.677237629890442,1.6541714892643171,1.677237629890442,1.6541714892643171
1061,1966-03-18 00:00:00,1.6442854404449463,1.6409902223273172,1.655818506632676,1.6475806585625752
1060,1966-03-17 00:00:00,1.6475825309753418,1.6393446735432398,1.6591156102699627,1.6558203884074436
1059,1966-03-16 00:00:00,1.6558197736740112,1.6418153817938168,1.667352848686906,1.6426390883415425
1058,1966-03-15 00:00:00,1.6426390409469604,1.6360487970829338,1.6451105549670728,1.6451105549670728
1057,1966-03-14 00:00:00,1.6467580795288086,1.6442867625654627,1.6508772040998922,1.6475819833326775
1056,1966-03-11 00:00:00,1.6475825309753418,1.6409920872503037,1.6624108321324818,1.6591156102699627
1055,1966-03-10 00:00:00,1.659113883972168,1.659113883972168,1.6854752369951032,1.668999342049771
1054,1966-03-09 00:00:00,1.6689997911453247,1.6376957992722845,1.6689997911453247,1.6376957992722845
